date,voltage,voltage_raw
2021-08-05 09:09:42,0.41371,2.04269
2021-08-05 09:10:42,0.41764,2.03925
2021-08-05 09:11:42,0.40959,2.03906
2021-08-05 09:12:42,0.41325,2.03895
2021-08-05 09:13:42,0.40753,2.03883
2021-08-05 09:14:42,0.40806,2.03876
2021-08-05 09:15:42,0.40059,2.03868
2021-08-05 09:16:42,0.40429,2.03864
2021-08-05 09:17:42,0.40406,2.03861
2021-08-05 09:18:42,0.40654,2.03861
2021-08-05 09:19:42,0.40864,2.03861
2021-08-05 09:20:42,0.40391,2.03861
2021-08-05 09:21:42,0.40177,2.03857
2021-08-05 09:22:42,0.40249,2.03857
2021-08-05 09:23:42,0.4086,2.03853
2021-08-05 09:24:42,0.40597,2.03849
2021-08-05 09:25:42,0.40059,2.03845
2021-08-05 09:26:42,0.40211,2.03841
2021-08-05 09:27:42,0.40581,2.03838
2021-08-05 09:28:42,0.40902,2.0383
2021-08-05 09:29:42,0.40574,2.03826
2021-08-05 09:30:42,0.41032,2.03822
2021-08-05 09:31:42,0.40524,2.03815
2021-08-05 09:32:42,0.40906,2.03811
2021-08-05 09:33:42,0.41207,2.03803
2021-08-05 09:34:42,0.4097,2.03799
2021-08-05 09:35:42,0.41112,2.03792
2021-08-05 09:36:42,0.41451,2.03788
2021-08-05 09:37:42,0.4152,2.0378
2021-08-05 09:38:42,0.41489,2.03777
2021-08-05 09:39:42,0.40913,2.03769
2021-08-05 09:40:42,0.40764,2.03765
2021-08-05 09:41:42,0.41127,2.03758
2021-08-05 09:42:42,0.4139,2.03754
2021-08-05 09:43:42,0.41478,2.03746
2021-08-05 09:44:42,0.41634,2.03742
2021-08-05 09:45:42,0.4184,2.03735
2021-08-05 09:46:42,0.41951,2.03731
2021-08-05 09:47:42,0.41661,2.03723
2021-08-05 09:48:42,0.41787,2.03719
2021-08-05 09:49:42,0.41859,2.03712
2021-08-05 09:50:42,0.41897,2.03708
2021-08-05 09:51:42,0.41711,2.03704
2021-08-05 09:52:42,0.41844,2.03696
2021-08-05 09:53:42,0.41676,2.03693
2021-08-05 09:54:42,0.41077,2.03689
2021-08-05 09:55:42,0.40574,2.03681
2021-08-05 09:56:42,0.4107,2.03677
2021-08-05 09:57:42,0.41279,2.03674
2021-08-05 09:58:42,0.41337,2.0367
2021-08-05 09:59:42,0.41966,2.03662
